,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant
helmet,-0.0896,-0.0071,0.0462,-0.0383,-0.0107,-0.0033,-0.0141,-0.0264,-0.0579,-0.0442,-0.0290,-0.0091,-0.0429,0.0109
tarraconensis,-0.0115,-0.0841,0.0461,-0.0354,-0.0180,-0.0140,-0.0062,-0.0501,-0.0088,-0.0299,-0.0374,-0.0587,-0.0506,-0.1073
helbig,-0.0133,0.0170,0.0299,0.0164,-0.0422,0.0032,-0.0370,0.0823,-0.0240,-0.0069,-0.0354,0.0107,0.0052,-0.0129
tabula,0.0040,-0.0463,0.0294,-0.0112,0.0223,-0.0779,-0.0325,-0.0216,-0.0460,-0.0595,-0.1036,-0.0476,0.0096,0.0265
heavily,-0.0149,-0.0154,-0.0082,-0.0144,-0.0278,0.0313,0.0431,-0.0469,0.0078,-0.0333,-0.0199,0.0035,-0.0089,-0.0220
maesius,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
magistrate,-0.0304,0.0758,-0.0141,0.0014,0.0161,0.0143,-0.0362,0.0362,-0.0246,0.0201,-0.0042,0.0168,-0.0455,0.0247
stylized,-0.0187,0.0712,-0.0751,0.1371,0.0799,0.0506,0.0821,0.1198,-0.0495,-0.0519,-0.0081,0.0972,0.1030,0.0893
headdress,-0.0698,-0.0928,0.0949,-0.0448,-0.0341,-0.0334,-0.0372,-0.0258,0.0642,0.0408,0.0261,-0.0808,-0.0729,-0.1091
main,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
367,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
delphi,0.0615,-0.0239,-0.0358,0.0362,-0.0029,0.0007,0.0121,0.0700,0.0620,0.0477,0.0823,-0.0074,0.0211,-0.0480
tunica,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
kreis,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1911,0.0591,0.0183,-0.0597,0.0774,0.0097,-0.0005,0.0335,0.0615,0.0034,-0.0221,0.0224,0.0322,0.0932,0.0267
