,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant
miletus,0.0873,0.0917,-0.1227,0.0842,-0.0218,0.0146,0.0459,0.0558,0.0056,0.0149,0.0151,0.0587,0.0782,0.0823
bodrum,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
body,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
monza,-0.0046,0.0249,-0.0251,0.0207,0.0138,0.0089,0.0413,0.0253,-0.0385,-0.0552,-0.0192,0.0186,0.0191,0.0229
byrsa,-0.0030,-0.0089,-0.0017,0.0127,0.0176,-0.0388,0.0371,-0.0032,-0.0099,-0.0404,-0.0097,-0.0126,0.0231,0.0114
naoussa,-0.0183,-0.0486,0.0243,-0.0132,-0.0250,-0.0308,-0.0055,0.0083,-0.0250,-0.0083,-0.0306,-0.0292,0.0049,-0.0297
fontne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cache,-0.0279,-0.0498,0.0548,-0.0044,0.0569,0.0209,0.0071,-0.0090,0.0777,0.0600,0.0699,-0.0075,-0.0339,-0.0440
caelian,-0.0115,-0.0002,0.0196,0.0202,0.0178,0.0384,0.0207,0.0136,-0.0168,-0.0010,0.0264,0.0245,0.0294,0.0037
flavia,-0.0630,0.0204,0.0241,-0.0428,-0.0144,0.0250,-0.0282,0.0050,-0.0558,-0.0110,0.0032,0.0001,-0.0212,-0.0370
fine,0.0165,0.0065,-0.0118,0.0197,-0.0233,-0.0889,-0.0195,0.0409,0.0285,-0.0549,-0.1018,-0.0304,0.0077,-0.0115
nemausus,0.0466,-0.0700,0.0036,-0.0485,-0.0736,-0.1508,-0.0843,-0.0265,0.0023,-0.0335,-0.0733,-0.0904,0.0012,-0.0377
came,0.0032,-0.0280,-0.0519,-0.0049,-0.0242,-0.0114,-0.0168,0.0353,-0.0382,-0.0273,-0.0211,-0.0472,-0.0084,-0.0331
cami,0.0893,0.0500,-0.0619,0.0353,-0.0560,-0.0257,-0.0471,0.0903,0.0264,0.0206,0.0207,0.0415,0.0699,0.0380
camii,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
new,0.0432,0.0756,-0.0907,0.0607,-0.0843,0.0337,0.0450,0.0526,-0.0540,-0.0347,-0.0308,0.0789,0.0459,0.0720
restored,-0.0632,-0.0220,0.0448,0.0049,0.0451,0.0046,0.0354,0.0087,0.0116,-0.0280,-0.0054,0.0070,-0.0106,-0.0236
felicis,0.0136,0.0061,-0.0062,-0.0124,-0.0073,0.0143,-0.0070,-0.0315,-0.0465,-0.0068,0.0189,0.0096,0.0273,0.0275
farnese,-0.0016,-0.0558,0.0661,-0.0502,-0.0168,-0.0377,-0.0454,-0.0244,0.0664,0.0562,0.0458,-0.0417,-0.0281,-0.0127
formia,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
build,0.0371,0.0359,0.0249,-0.1355,-0.0407,-0.0550,-0.1103,-0.1821,0.0165,0.0249,-0.0996,-0.0759,-0.1311,-0.0029
bonnet,-0.0746,-0.0266,0.0621,-0.0267,-0.0364,0.0100,-0.0204,-0.0341,-0.0350,-0.0257,0.0031,-0.0228,-0.0214,-0.0428
monument,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
shaven,0.0469,-0.0361,0.0257,-0.0189,-0.0938,0.0281,-0.0839,-0.0339,0.0810,0.0943,0.0089,-0.0241,0.0091,-0.0633
separate,0.0605,0.0361,-0.0617,0.0574,0.0187,-0.0246,0.0411,0.0366,0.0308,0.0007,-0.0118,0.0346,0.0621,0.0431
borghese,0.0500,-0.0692,0.0122,-0.0373,-0.0731,-0.0357,-0.0669,-0.0116,0.0489,0.0423,0.0549,-0.0608,-0.0235,-0.0591
bornova,0.0459,-0.0010,-0.0634,0.0515,0.0097,0.0633,0.0534,0.0512,0.0386,0.0127,0.0656,0.0306,0.0524,-0.0151
minerva,0.0209,0.0265,-0.0385,0.0247,0.0267,-0.0429,0.0768,-0.0014,-0.0388,-0.0685,0.0232,0.0078,0.0386,0.0555
boxer,0.0005,-0.0350,0.0662,-0.0332,-0.0672,-0.0604,-0.1033,0.0345,0.0956,0.1340,0.0506,-0.0687,-0.0635,-0.1077
full-face,-0.0542,-0.0432,0.0612,-0.0570,-0.0412,-0.0198,0.0181,-0.0516,-0.0515,-0.0265,-0.0412,-0.0334,-0.0350,-0.0445
sanssouci,0.0234,-0.0340,0.0162,0.0070,-0.0049,0.0292,-0.0287,-0.0121,-0.0420,-0.0347,-0.0299,-0.0001,0.0324,0.0283
full-bearded,0.0487,-0.0197,-0.0029,-0.0783,-0.0443,0.0333,-0.1222,-0.0147,0.0449,0.0980,0.0044,-0.0041,-0.0340,-0.0450
san,-0.0126,0.0228,-0.0100,0.0102,0.0479,0.0002,-0.0107,0.0278,-0.0547,-0.0572,-0.0329,0.0197,0.0258,0.0381
fringed,-0.0215,-0.0147,0.0326,-0.0128,0.0296,-0.0374,0.0038,-0.0361,-0.0293,-0.0451,-0.0611,-0.0002,0.0323,0.0272
frascati,-0.0097,0.0248,0.0014,-0.0117,0.0149,0.0359,-0.0067,-0.0069,-0.0310,-0.0330,-0.0197,0.0163,-0.0358,0.0110
brows,0.0259,0.0377,-0.0360,0.0232,-0.0031,-0.0175,0.0288,0.0011,-0.0457,-0.0618,-0.0860,0.0242,0.0080,0.0336
sabratha,0.0148,0.0547,0.0156,-0.0227,-0.0131,0.0073,-0.0698,-0.0325,0.0192,0.0388,0.0279,0.0138,-0.0469,0.0330
bruttii,-0.0225,-0.0258,0.0045,-0.0303,-0.0494,-0.0026,-0.0070,-0.0084,-0.0549,-0.0391,-0.0059,-0.0332,-0.0572,-0.0437
large-faced,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Old,1.0000,0.1346,-0.6293,0.3341,-0.3261,-0.1828,0.0525,0.2634,0.1023,0.1740,0.2931,0.0521,0.3694,0.2171
Masculine,0.1346,1.0000,-0.5743,0.5262,0.3127,0.3751,0.2945,0.2720,-0.2783,-0.1829,-0.1292,0.7790,0.4010,0.8234
Baby-faced,-0.6293,-0.5743,1.0000,-0.7746,-0.0767,-0.2337,-0.5337,-0.5865,0.2832,0.3341,-0.0747,-0.5940,-0.7386,-0.5701
Competent,0.3341,0.5262,-0.7746,1.0000,0.3091,0.3487,0.7070,0.7965,-0.0704,-0.3162,0.1033,0.7436,0.8550,0.5487
Attractive,-0.3261,0.3127,-0.0767,0.3091,1.0000,0.3419,0.4861,0.1558,-0.0860,-0.2552,-0.0579,0.4374,0.2137,0.2669
Energetic,-0.1828,0.3751,-0.2337,0.3487,0.3419,1.0000,0.4002,0.0739,-0.0036,0.0253,0.2630,0.7047,0.1248,0.2934
Well-groomed,0.0525,0.2945,-0.5337,0.7070,0.4861,0.4002,1.0000,0.4216,-0.1866,-0.4431,0.0501,0.5920,0.5845,0.3465
Intelligent,0.2634,0.2720,-0.5865,0.7965,0.1558,0.0739,0.4216,1.0000,0.0070,-0.2625,0.0731,0.4198,0.7366,0.2050
Honest,0.1023,-0.2783,0.2832,-0.0704,-0.0860,-0.0036,-0.1866,0.0070,1.0000,0.6920,0.5013,-0.1861,-0.2237,-0.3802
Generous,0.1740,-0.1829,0.3341,-0.3162,-0.2552,0.0253,-0.4431,-0.2625,0.6920,1.0000,0.5890,-0.2337,-0.3797,-0.2756
Trustworthy,0.2931,-0.1292,-0.0747,0.1033,-0.0579,0.2630,0.0501,0.0731,0.5013,0.5890,1.0000,0.0630,0.0020,-0.1463
Confident,0.0521,0.7790,-0.5940,0.7436,0.4374,0.7047,0.5920,0.4198,-0.1861,-0.2337,0.0630,1.0000,0.6119,0.7374
Rich,0.3694,0.4010,-0.7386,0.8550,0.2137,0.1248,0.5845,0.7366,-0.2237,-0.3797,0.0020,0.6119,1.0000,0.5335
Dominant,0.2171,0.8234,-0.5701,0.5487,0.2669,0.2934,0.3465,0.2050,-0.3802,-0.2756,-0.1463,0.7374,0.5335,1.0000
