fine,2
nemausus,2
came,2
cami,2
camii,2
new,2
restored,2
felicis,2
farnese,2
formia,2
build,2
bonnet,2
monument,2
shaven,2
separate,2
borghese,2
bornova,2
minerva,2
boxer,2
full-face,2
sanssouci,2
full-bearded,2
san,2
fringed,2
frascati,2
brows,2
sabratha,2
bruttii,2
large-faced,2
